Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SwipeBrain,1.512,136.911,131.737,2056,8.906
SwipeBrain,1.272,277.197,136.511,2051,11.565
SwipeBrain,1.303,440.882,160.244,2051,15.242
SwipeBrain,1.258,646.574,202.326,2150,24.990
SwipeBrain,1.260,836.311,186.708,2078,27.872
SwipeBrain,1.251,1126.100,286.314,2080,36.733
SwipeBrain,1.263,1443.044,313.922,2086,70.457
SwipeBrain,1.250,1841.551,395.089,2081,83.958
SwipeBrain,1.282,2376.893,531.734,2193,100.121
SwipeBrain,1.258,2875.094,494.971,2208,164.522
SwipeBrain,1.265,3789.685,911.287,2270,358.478
SwipeBrain,1.304,4654.988,862.144,2052,inf
SwipeBrain,1.273,4933.928,275.505,2054,inf
SwipeBrain,1.269,5231.990,294.660,2089,inf
SwipeBrain,1.269,5453.101,217.741,2099,5.605
SwipeBrain,1.277,5662.076,205.517,2067,inf
SwipeBrain,1.268,5866.627,200.782,2063,3.819
SwipeBrain,1.264,6077.234,207.222,2052,4.276
SwipeBrain,1.267,6289.956,209.270,2060,4.062
SwipeBrain,1.253,6499.881,206.515,2072,4.151
SwipeBrain,1.279,6717.663,214.351,2053,4.410
SwipeBrain,1.259,6927.980,206.886,2073,4.073
SwipeBrain,1.268,7142.868,211.479,2065,4.475
SwipeBrain,1.255,7362.740,216.279,2054,4.516
SwipeBrain,1.313,7578.577,212.017,2049,4.975
SwipeBrain,1.269,7788.802,206.910,2055,5.119
SwipeBrain,1.298,8012.521,220.195,2081,4.207
SwipeBrain,1.293,8218.316,202.461,2068,4.634
SwipeBrain,1.247,8432.677,210.884,2066,3.497
SwipeBrain,1.250,8634.560,198.270,2049,4.878
SwipeBrain,1.262,8844.755,206.792,2063,4.466
SwipeBrain,1.310,9042.017,193.844,2055,3.843
SwipeBrain,1.255,9250.957,205.582,2055,4.639
SwipeBrain,1.267,9450.958,196.673,2057,3.612
SwipeBrain,1.262,9658.749,204.372,2049,3.862
SwipeBrain,1.273,9876.286,214.135,2098,4.707
SwipeBrain,1.242,10094.571,214.885,2057,5.286
SwipeBrain,1.281,10301.373,203.390,2062,4.036
SwipeBrain,1.268,10510.680,205.965,2057,4.645
SwipeBrain,1.277,10715.267,201.167,2068,3.497
SwipeBrain,1.251,10927.050,208.504,2066,4.828
SwipeBrain,1.270,11126.964,196.574,2051,3.518
SwipeBrain,1.278,11339.274,208.886,2081,4.265
SwipeBrain,1.261,11541.642,198.989,2067,3.356
SwipeBrain,1.255,11742.796,197.810,2058,3.728
SwipeBrain,1.268,11949.808,203.673,2056,4.286
SwipeBrain,1.272,12163.593,209.852,2064,4.403
SwipeBrain,1.258,12383.257,216.099,2050,4.798
SwipeBrain,1.303,12584.893,198.316,2063,4.079
SwipeBrain,1.294,12781.867,193.654,2052,3.683
SwipeBrain,1.300,12992.157,206.896,2050,4.401
SwipeBrain,1.272,13196.919,201.308,2057,3.363
SwipeBrain,1.283,13398.286,197.901,2060,3.718
SwipeBrain,1.263,13602.882,201.238,2070,4.036
SwipeBrain,1.249,13815.610,209.344,2068,4.655
SwipeBrain,1.262,14022.911,203.871,2052,4.046
SwipeBrain,1.259,14216.123,189.920,2060,3.642
SwipeBrain,1.259,14423.079,203.563,2100,3.942
SwipeBrain,1.260,14629.095,202.577,2060,3.768
SwipeBrain,1.268,14817.813,185.400,2055,3.678
SwipeBrain,1.260,15051.465,230.097,2091,3.960
SwipeBrain,1.259,15248.640,193.899,2069,4.348
SwipeBrain,1.261,15449.762,197.281,2067,3.949
SwipeBrain,1.287,15655.979,202.291,2057,3.735
SwipeBrain,1.259,15875.189,215.816,2102,5.130
SwipeBrain,1.255,16080.257,201.515,2059,3.587
SwipeBrain,1.330,16287.469,203.731,2088,4.395
SwipeBrain,1.253,16493.550,202.793,2053,4.543
SwipeBrain,1.247,16712.782,215.934,2101,4.361
SwipeBrain,1.263,16910.870,194.751,2055,3.216
SwipeBrain,1.246,17118.355,203.935,2065,4.009
SwipeBrain,1.278,17307.718,186.093,2055,3.520
